r,l,t
1335.652863740921,308,2.6948907375335693
934.843138217926,107,3.626330852508545
935.9818007946014,110,4.6757872104644775
934.8431394100189,110,5.721922397613525
935.9818074703217,161,7.049487829208374
934.8431406021118,111,8.067155838012695
934.843138217926,115,9.142499446868896
934.843138217926,110,10.111510038375854
934.8431379795074,185,11.707665920257568
934.843141078949,185,13.230542182922363
934.8431398868561,113,14.246706485748291
884.7419245243073,82,15.022163391113281
934.8431389331818,108,16.02565622329712
934.8431375026703,107,16.989208459854126
934.8431425094604,134,18.18628716468811
934.8431401252747,185,19.76290225982666
934.8431391716003,110,20.71061062812805
1335.6528632640839,308,23.252209901809692
1217.2318077087402,185,24.828733682632446
935.981803894043,121,25.935222387313843
934.8431384563446,145,27.181069135665894
1335.6528613567352,296,29.55361557006836
934.843138217926,143,30.74736261367798
1335.6528704166412,207,32.52079749107361
935.9818019866943,147,33.76298999786377
934.8431379795074,148,35.02809977531433
934.843138217926,107,35.974782943725586
934.8431403636932,111,36.98853039741516
1335.6528668403625,313,39.550532579422
934.8431389331818,122,40.591344594955444
1217.2318098545074,280,42.85044026374817
934.8431375026703,148,44.190512895584106
1335.6528615951538,274,46.39275598526001
934.8431372642517,110,47.34809613227844
934.8431403636932,192,48.944085359573364
934.8431363105774,186,50.50311756134033
934.8431355953217,187,52.040223836898804
935.9818041324615,149,53.34575915336609
934.8431391716003,186,55.491689682006836
934.8431386947632,148,56.84561491012573
934.8431355953217,140,58.412150144577026
935.9818041324615,149,59.89919996261597
1217.2318134307861,198,61.77264881134033
934.8431415557861,188,63.63903331756592
934.8431401252747,185,65.25032448768616
934.8431379795074,105,66.22211837768555
