r,l,t
762.4038296341896,94,1.0734176635742188
786.6345891952515,71,1.7203128337860107
775.3845957517624,262,3.8473763465881348
766.7307522892952,94,4.68867826461792
766.7307522892952,94,5.513034343719482
762.4038286209106,123,6.572708368301392
780.5769057273865,259,8.642443180084229
784.9038227200508,77,9.316257238388062
766.7307522892952,94,10.147134065628052
766.7307522892952,94,10.984721183776855
766.7307522892952,94,11.80759596824646
766.7307522892952,94,12.658738374710083
766.7307522892952,94,13.50389814376831
784.0384425520897,94,14.330507040023804
784.9038227200508,77,15.019314765930176
766.7307522892952,94,15.840391397476196
766.7307522892952,94,16.667211532592773
762.4038279056549,188,18.241238594055176
766.7307522892952,94,19.07366633415222
766.7307522892952,94,19.904826402664185
766.7307522892952,94,20.745218515396118
766.7307522892952,94,21.56112313270569
786.6345897316933,70,22.203203439712524
766.7307522892952,94,23.024600982666016
766.7307522892952,94,23.86510467529297
766.7307522892952,94,24.694565773010254
783.1730545759201,163,26.046754360198975
766.7307522892952,94,26.870485305786133
780.5769038796425,94,27.695893049240112
766.7307522892952,94,28.52429962158203
787.4999770522118,77,29.21214747428894
763.2692141532898,235,31.125932693481445
766.7307522892952,94,31.950709581375122
786.6345911026001,74,32.62198567390442
766.7307522892952,94,33.44977378845215
766.7307522892952,94,34.30268096923828
766.7307522892952,94,35.11979579925537
766.7307522892952,94,35.9461874961853
766.7307522892952,94,36.80495858192444
766.7307522892952,94,37.62445139884949
786.6345897316933,70,38.2684531211853
762.403827548027,138,39.43092465400696
766.7307522892952,94,40.259984731674194
758.942293047905,162,41.63930869102478
766.7307522892952,94,42.480064392089844
766.7307522892952,94,43.31489706039429
766.7307522892952,94,44.14504814147949
766.7307522892952,94,44.96172738075256
787.4999780654907,185,46.48130941390991
784.9038227200508,76,47.16340184211731
766.7307522892952,94,47.97374176979065
766.7307522892952,94,48.80469608306885
766.7307522892952,94,49.62696814537048
766.7307522892952,94,50.45709228515625
786.6345946192741,194,52.0498104095459
766.7307522892952,94,52.88178777694702
766.7307522892952,94,53.74466562271118
766.7307522892952,94,54.592652320861816
766.7307522892952,94,55.42275953292847
785.7692067623138,75,56.11424684524536
764.9999912381172,737,61.85271644592285
718.2692158818245,131,62.99245500564575
763.2692167162895,207,64.69311475753784
766.7307522892952,94,65.53194761276245
766.7307522892952,94,66.3762629032135
766.7307522892952,94,67.19619703292847
766.7307522892952,94,68.02062606811523
766.7307522892952,94,68.84833645820618
781.4422859549522,127,69.92661690711975
