r,l,t
509.57855010032654,289,2.5679049491882324
1382.047072172165,661,7.592641353607178
425.83470273017883,208,9.256579875946045
1382.0470753908157,617,14.866236448287964
1382.0470682382584,1116,25.052949905395508
1382.047064781189,624,30.137332677841187
436.7816081047058,206,31.837846040725708
434.0448831319809,314,34.46749663352966
539.1351960897446,301,36.94245004653931
1382.0470700263977,723,42.73509168624878
437.32895171642303,218,44.52731442451477
432.9501938819885,404,47.94419980049133
438.4236464500427,183,49.433369874954224
430.21346139907837,187,50.960363149642944
435.1395766735077,240,52.9149603843689
1382.0470613241196,681,58.26506757736206
1660.6458745002747,721,63.81449484825134
423.6453267335892,317,66.4256682395935
